@relation interact

@attribute interactionword {abolish,acceptor,accompani,accumul,acetyl,act,action,activ,affect,affin,agonist,alter,associ,attach,attack,attenu,augment,bind,block,blockag,carbamoyl,carboxyl,caus,chang,character,cleav,cleavag,co,coactiv,coassoci,coexpress,coimmunoprecipit,coloc,compet,complex,concentr,conjug,conserv,consist,contact,contain,contribut,control,convert,cooper,coprecipit,correl,costimul,counterreceptor,crippl,cross,crosslink,deacetyl,deamin,decarboxyl,decreas,degrad,dehydr,dehydrogen,depend,dephosphoryl,depress,determin,diminish,direct,disrupt,dissoci,distribut,dock,down,downregul,drive,effect,elav,elev,elimin,encod,engag,enhanc,evok,express,facilit,facilitet,follow,form,format,formyl,function,fuse,gener,glycosyl,govern,heterodim,heterodimer,homodim,homodimer,homolog,hydroli,hydrolys,hydrolysi,identifi,immunoprecipit,impact,impair,implic,inact,inactiv,incorpor,increas,induc,induct,influenc,inhibit,inhibitor,initi,interact,involv,isomer,lead,ligand,ligat,limit,link,local,mediat,methyl,mobil,mobilis,modifi,modul,neutral,neutralis,oxid,pair,peroxid,perturb,phosphory,phosphoryl,potenti,prduce,preced,precipit,prevent,produc,promot,rais,react,reactiv,recogn,recruit,reduc,reduct,regul,relat,repress,requir,respond,respons,result,revers,sequest,signal,stabil,stimul,suppress,synerg,synergis,talk,target,termin,tether,tran,transactiv,transamin,transcrib,transform,trigger,ubiquitin,up,upregul,norelword}
@attribute D1 real
@attribute D2 real
@attribute D3 real
@attribute P_posision1 real
@attribute P_position2 real
@attribute K_position real
@attribute order {avb,vab,abv}
@attribute NumberOfInteractors real
@attribute not {true,false}
@attribute prep {with,of,by,multiple,to,between,via,through,in,for,on,within,during,from,without,at,under,among,after,NA}
@attribute H1 real
@attribute H2 real
@attribute H3 real
@attribute overlapP {true,false}
@attribute overlapN {true,false}
@attribute overlap2 {true,false}
@attribute overlap3 {true,false}
@attribute overlapF {true,false}
@attribute overlapR {true,false}
@attribute pattern_PVP {true,false}
@attribute pattern_PVbyP {true,false}
@attribute pattern_VofPbyP {true,false}
@attribute pattern_VofPtoP {true,false}
@attribute pattern_NofPbyP {true,false}
@attribute pattern_NofPwithP {true,false}
@attribute pattern_NbetweenPandP {true,false}
@attribute pattern_combetPandP {true,false}
@attribute pattern_comofPandP {true,false}
@attribute pattern_PformcomwithP {true,false}
@attribute pattern_PPN {true,false}
@attribute pattern_PdependP {true,false}
@attribute pattern_between {true,false}
@attribute pattern_contiguous {true,false}
@attribute pattern_para {true,false}
@attribute Dep_KP1 real
@attribute negative_KP1 real
@attribute positive_KP1 real
@attribute Dep_KP2 real
@attribute negative_KP2 real
@attribute positive_KP2 real
@attribute Dep_P1P2 real
@attribute negative_P1P2 real
@attribute positive_P1P2 real
@attribute Dep_P1Root real
@attribute Dep_P2Root real
@attribute Dep_KRoot real
@attribute interaction {True,False}

@data
conserv,3,5,2,10,12,7,vab,4,false,of,8,8,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,2,1,1,2,1,1,1,0,1,3,3,3,False
conserv,3,9,6,10,16,7,vab,4,false,of,8,6,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,2,1,1,3,2,1,3,2,1,3,2,3,False
conserv,5,9,4,12,16,7,vab,4,false,of,8,6,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,2,1,1,3,2,1,4,3,1,3,2,3,False
contact,4,5,9,6,15,10,avb,1,false,NA,8,5,8,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,3,1,3,1,2,5,3,2,4,3,2,True
bind,7,3,10,6,16,13,avb,2,false,of,5,7,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,2,2,2,1,1,4,2,2,3,3,3,False
bind,7,5,12,6,18,13,avb,2,false,of,5,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,2,2,2,1,1,4,2,2,3,3,3,False
bind,3,5,2,16,18,13,vab,2,false,of,7,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,2,1,1,2,1,1,1,0,1,3,3,3,False
bind,4,1,5,9,14,13,avb,1,false,NA,8,4,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,2,2,1,1,0,3,2,1,4,3,4,True
contact,2,4,6,6,12,8,avb,1,false,with,4,8,8,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,4,2,2,4,3,1,4,2,4,True
encod,6,11,5,18,23,12,vab,1,false,NA,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,3,0,3,5,3,2,6,6,3,False
encod,6,15,9,18,27,12,vab,1,false,NA,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,4,0,4,6,3,3,6,7,3,False
encod,11,15,4,23,27,12,vab,1,false,NA,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,4,0,4,4,2,2,6,7,3,False
interact,7,4,11,16,27,23,avb,3,false,with,8,10,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,2,1,2,0,2,5,2,3,3,4,2,False
associ,4,7,3,39,42,35,vab,2,false,with,4,4,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,3,0,3,4,2,2,9,10,7,False
